Date,Region,Products,Category,Units Sold,Unit Price,Customer Type,Total Sales
2024-05-23 00:00:00,Central,Headphones,Accessories,18.0,142.65,Retail,2567.7
2024-12-05 00:00:00,North,Mouse,Accessories,13.40625,76.92,Retail,1031.21
2024-04-09 00:00:00,East,Headphones,Accessories,15.0,20.54,Wholesale,308.1
2024-07-27 00:00:00,Central,Keyboard,Accessories,8.0,82.92,Retail,663.36
2024-06-08 00:00:00,Central,Tablet,Accessories,13.0,36.55,Retail,475.15
2024-04-29 00:00:00,Central,Tablet,Electronics,10.0,418.62,Wholesale,4186.2
2024-10-01 00:00:00,Unknown,Tablet,Electronics,7.0,409.54,Wholesale,2866.78
2024-06-23 00:00:00,West,Laptop,Electronics,8.0,420.0,Retail,3360.0
2024-07-29 00:00:00,West,Laptop,Electronics,22.0,863.04,Online,18986.88
2024-08-24 00:00:00,South,Smartwatch,Electronics,9.0,839.72,Online,7557.48
2024-12-12 00:00:00,South,Monitor,Accessories,13.0,150.72,Retail,1959.36
2024-05-10 00:00:00,Unknown,Smartphone,Electronics,4.0,209.17,Online,836.68
2024-10-10 00:00:00,North,Smartphone,Electronics,10.0,575.03,Retail,5750.3
2024-08-03 00:00:00,East,Smartphone,Electronics,16.0,571.16,Online,9138.56
2024-02-09 00:00:00,East,Mouse,Electronics,17.0,616.25,Online,10476.25
2024-03-18 00:00:00,North,Keyboard,Accessories,4.0,20.62,Wholesale,82.48
2024-04-11 00:00:00,Central,Headphones,Accessories,8.0,34.82,Wholesale,278.56
2024-12-22 00:00:00,East,Tablet,Accessories,7.0,79.36,Wholesale,555.52
2024-01-26 00:00:00,East,Laptop,Electronics,5.0,411.48,Retail,2057.4
2024-01-24 00:00:00,East,Mouse,Electronics,10.0,837.97,Wholesale,8379.7
2024-08-21 00:00:00,South,Mouse,Accessories,22.0,20.06,Online,441.32
2024-12-22 00:00:00,Central,Mouse,Accessories,2.0,20.11,Retail,40.22
2024-03-10 00:00:00,West,Monitor,Accessories,12.0,20.34,Online,244.08
2024-12-08 00:00:00,West,Keyboard,Electronics,1.0,219.87,Wholesale,219.87
2024-01-20 00:00:00,North,Tablet,Accessories,12.0,35.8,Wholesale,429.6
2024-11-19 00:00:00,Central,Mouse,Electronics,23.0,385.74,Wholesale,8872.02
2024-01-23 00:00:00,East,Mouse,Accessories,23.0,20.83,Wholesale,479.09
2024-11-04 00:00:00,South,Tablet,Accessories,8.0,19.55,Wholesale,156.4
2024-07-02 00:00:00,South,Headphones,Electronics,22.0,384.11,Online,8450.42
2024-03-25 00:00:00,West,Keyboard,Accessories,20.0,80.27,Wholesale,1605.4
2024-10-21 00:00:00,South,Smartphone,Accessories,16.0,34.65,Retail,554.4
2024-07-24 00:00:00,East,Smartphone,Electronics,7.0,624.79,Online,4373.53
2024-08-11 00:00:00,West,Headphones,Electronics,16.0,590.88,Wholesale,9454.08
2024-06-07 00:00:00,West,Mouse,Accessories,20.0,81.67,Retail,1633.4
2024-12-02 00:00:00,Central,Smartwatch,Accessories,14.0,19.11,Online,267.54
2024-10-27 00:00:00,North,Tablet,Accessories,19.0,143.1,Retail,2718.9
2024-02-17 00:00:00,Unknown,Headphones,Electronics,17.0,404.08,Online,6869.36
2024-07-11 00:00:00,South,Mouse,Accessories,6.0,82.65,Online,495.9
2024-05-25 00:00:00,South,Mouse,Accessories,18.0,20.41,Online,367.38
2024-10-27 00:00:00,Central,Smartphone,Accessories,5.0,19.89,Wholesale,99.45
2024-12-13 00:00:00,South,Tablet,Electronics,21.0,608.78,Wholesale,12784.38
2024-08-20 00:00:00,North,Smartphone,Electronics,21.0,405.58,Retail,8517.18
2024-12-09 00:00:00,Central,Headphones,Electronics,21.0,610.23,Online,12814.83
2024-11-06 00:00:00,North,Keyboard,Accessories,10.0,76.86,Retail,768.6
2024-06-01 00:00:00,West,Headphones,Accessories,18.0,35.87,Online,645.66
2024-11-18 00:00:00,North,Keyboard,Accessories,5.0,82.49,Wholesale,412.45
2024-01-08 00:00:00,South,Smartwatch,Accessories,21.0,36.64,Retail,769.44
2024-02-17 00:00:00,West,Tablet,Accessories,2.0,142.55,Retail,285.1
2024-02-23 00:00:00,Central,Mouse,Electronics,5.0,406.27,Retail,2031.35
2024-03-11 00:00:00,Central,Smartphone,Accessories,3.0,20.51,Retail,61.53
2024-08-23 00:00:00,East,Tablet,Electronics,14.0,620.67,Retail,8689.38
2024-06-28 00:00:00,East,Mouse,Electronics,8.0,380.95,Retail,3047.6
2024-07-30 00:00:00,East,Smartwatch,Accessories,13.0,19.83,Retail,257.79
2024-03-21 00:00:00,East,Keyboard,Accessories,24.0,147.37,Online,3536.88
2024-12-23 00:00:00,South,Keyboard,Accessories,8.0,36.25,Wholesale,290.0
2024-09-14 00:00:00,Central,Smartphone,Accessories,6.0,36.11,Online,216.66
2024-09-01 00:00:00,North,Tablet,Electronics,13.0,599.5,Online,7793.5
2024-12-01 00:00:00,Central,Smartwatch,Electronics,14.0,398.06,Retail,5572.84
2024-10-30 00:00:00,West,Headphones,Accessories,2.0,145.81,Online,291.62
2024-05-30 00:00:00,West,Laptop,Accessories,15.0,76.03,Online,1140.45
2024-08-18 00:00:00,East,Monitor,Electronics,14.0,812.03,Online,11368.42
2024-07-17 00:00:00,West,Keyboard,Electronics,22.0,222.15,Online,4887.3
2024-04-12 00:00:00,East,Mouse,Accessories,22.0,35.52,Wholesale,781.44
2024-10-18 00:00:00,East,Headphones,Accessories,4.0,19.94,Wholesale,79.76
2024-04-07 00:00:00,Central,Tablet,Accessories,3.0,78.21,Wholesale,234.63
2024-11-06 00:00:00,East,Tablet,Electronics,21.0,387.61,Wholesale,8139.81
2024-08-18 00:00:00,East,Mouse,Electronics,21.0,391.09,Online,8212.89
2024-01-07 00:00:00,West,Tablet,Accessories,4.0,19.87,Wholesale,79.48
2024-12-10 00:00:00,East,Mouse,Electronics,7.0,385.89,Retail,2701.23
